Titulo;Genero;Linguagens;Categoria;Disponibilidade_Geografica;Duracao;IMDb_Score;Rotten_Tomatoes_Score;Metacritic_Score;Premios_Recebidos;Premios_Indicados;Receita_Bilheteria;Data_Lancamento_Netflix;Total_Score
Lets Fight Ghost;Crime;Swedish, Spanish;Series;1;< 30 minutes;7.9;9.8;8.2;3.609665427509294;6.350078492935636;1;2021-03-04;8.633333333333335
HOW TO BUILD A GIRL;Comedy;English;Movie;1;1-2 hour;5.8;7.9;6.9;1.0;0.0;1;2021-03-04;6.866666666666667
The Invisible;Crime;English;Movie;15;1-2 hour;6.2;2.0;3.6;0.0;1.0;1;2021-03-03;3.9333333333333336
Joker;Crime;English;Movie;12;1-2 hour;8.4;6.8;5.9;3.609665427509294;6.350078492935636;1;2021-03-03;7.033333333333334
I;Action;English, Sanskrit;Movie;15;1-2 hour;6.5;5.2;5.1;3.609665427509294;6.350078492935636;1;2021-03-03;5.6000000000000005
Harrys Daughters;Adventure;English;Movie;17;1-2 hour;8.1;9.6;8.5;3.609665427509294;6.350078492935636;1;2021-03-03;8.733333333333334
The Closet;Comedy;French;Movie;1;1-2 hour;7.0;8.5;7.2;1.0;1.0;1;2021-03-01;7.566666666666666
Trial by Fire;Biography;English;Movie;1;> 2 hrs;6.9;6.1;5.1;0.0;0.0;1;2021-03-01;6.033333333333334
Framing John DeLorean;Documentary;English;Movie;1;1-2 hour;6.5;9.0;6.7;0.0;0.0;1;2021-03-01;7.3999999999999995
Alice;Comedy;English, Cantonese;Series;26;< 30 minutes;6.6;7.5;6.7;1.0;7.0;1;2021-03-01;6.933333333333334
Ordinary People;Drama;English;Movie;1;1-2 hour;7.7;8.9;8.6;3.609665427509294;14.0;1;2021-02-28;8.4
Paths of the Soul;Drama;Tibetan;Movie;1;1-2 hour;7.5;9.4;9.0;5.0;7.0;1;2021-02-28;8.633333333333333
Rebel in the Rye;Biography;English;Movie;1;1-2 hour;6.7;3.0;4.6;0.0;0.0;1;2021-02-28;4.766666666666667
Stray;Action;English;Movie;1;1-2 hour;4.8;5.6;5.4;0.0;0.0;NAO_DEFINIDO;2021-02-28;5.266666666666667
Stand by Me;Adventure;English;Movie;1;1-2 hour;8.1;9.1;7.5;5.0;11.0;1;2021-02-28;8.233333333333333
Wonderstruck;Adventure;English, Spanish;Movie;1;1-2 hour;6.2;6.8;7.1;1.0;6.350078492935636;1;2021-02-28;6.7
Intimate Strangers;Drama;French;Movie;1;1-2 hour;7.0;8.6;7.1;0.0;3.0;1;2021-02-28;7.566666666666666
The Girl on the Train;Crime;English, Spanish;Movie;36;> 2 hrs;6.5;4.4;4.8;4.0;12.0;1;2021-02-27;5.233333333333333
Ride Your Wave;Animation;Japanese;Movie;1;1-2 hour;6.8;9.3;6.3;2.0;3.0;1;2021-02-26;7.466666666666666
Red;Action;English, Russian;Movie;17;> 2 hrs;7.0;7.2;6.0;4.0;19.0;1;2021-02-23;6.733333333333333
Burden;Drama;English;Movie;1;1-2 hour;6.6;9.7;5.7;2.0;1.0;1;2021-02-19;7.333333333333333
Love;Drama;English, French;Movie;17;1-2 hour;6.1;4.0;5.1;2.0;1.0;1;2021-02-19;5.066666666666666
The Shadow;Action;English;Movie;1;1-2 hour;6.1;3.5;5.0;0.0;4.0;1;2021-02-17;4.866666666666666
Aftermath;Drama;English, Thai;Movie;17;1-2 hour;5.7;4.2;4.4;0.0;0.0;NAO_DEFINIDO;2021-02-17;4.766666666666667
